route_id,service_id,trip_id,trip_headsign,shape_id,block_id
3M,1003,319321:427496:428723,MEMORIAL to County Park,3595,428723
3M,1004,318703:427497:428746,MEMORIAL to County Park,3600,428746
1,1003,319604:427498:428694,MAINLINE to Waterfront,3575,428694
7,1004,318889:427499:428687,HUDSON to Shuniah St.,3577,428687
3M,1006,319385:427500:428680,MEMORIAL to County Park,3595,428680
3M,1007,319385:427500:428758,MEMORIAL to County Park,3595,428758
3C,996,322392:427501:428749,COUNTY PARK to Castlegreen Dr,3605,428749
3M,996,322325:427502:428749,MEMORIAL to Northwood,3583,428749
1,1003,319594:427503:428694,MAINLINE to Waterfront,3575,428694
10,1003,319708:427504:428723,NORTHWOOD to College,3549,428723
1,995,320908:427505:428673,MAINLINE to Waterfront,3575,428673
3C,995,320826:427506:428748,COUNTY PARK to Northwood,3576,428748
3M,995,321055:427507:428741,MEMORIAL to County Park,3600,428741
5,1004,318674:427508:428703,EDWARD to Waterfront,3555,428703
1,1003,319614:427509:428707,MAINLINE to Waterfront,3575,428707
7,1003,319444:427510:428693,HUDSON to Shuniah St.,3577,428693
15,996,322543:427511:428671,BEVERLY to Intercity,3586,428671
10,1003,319734:427512:428705,NORTHWOOD to College,3549,428705
3M,995,321084:427513:428748,MEMORIAL to County Park,3595,428748
1,1003,319582:427514:428694,MAINLINE to Waterfront,3575,428694
10,1006,319696:427515:428680,NORTHWOOD to College,3549,428680
10,1007,319696:427515:428758,NORTHWOOD to College,3549,428758
1,996,322214:427516:428728,MAINLINE to Waterfront,3575,428728
3M,995,321067:427517:428708,MEMORIAL to Jumbo Gardens,3590,428708
3M,1004,318692:427518:428746,MEMORIAL to County Park,3600,428746
17,1004,319008:427519:428709,CURRENT RIVER to Waterfront,3603,428709
8,1004,318914:427520:428706,JAMES to College,3538,428706
3C,1003,319638:427521:428674,COUNTY PARK to Castlegreen Dr,3605,428674
3M,1003,319335:427522:428676,MEMORIAL to Northwood,3598,428676
5,1003,319832:427523:428725,EDWARD to Waterfront,3555,428725
3M,995,321052:427524:428677,MEMORIAL to Waterfront,3596,428677
1,996,322205:427525:428728,MAINLINE to City Hall,3584,428728
13,1004,318491:427526:428713,JOHN-JUMBO to Waterfront,3588,428713
18,1004,319027:427527:428696,WESTFORT to Mary,3509,428696
3C,996,322394:427528:428717,COUNTY PARK to Castlegreen Dr,3605,428717
7,996,322144:427529:428732,HUDSON to Shuniah St.,3577,428732
3M,995,321059:427530:428689,MEMORIAL to County Park,3600,428689
8,996,322080:427531:428702,JAMES to City Hall via College,3569,428702
3M,1004,318722:427532:428712,MEMORIAL to City Hall,3581,428712
10,1004,318542:427533:428746,NORTHWOOD to College,3549,428746
8,1004,318901:427534:428745,JAMES to Intercity via College,3587,428745
7,1003,319445:427535:428693,HUDSON to Shuniah St.,3577,428693
7,996,322134:427536:428732,HUDSON to Shuniah St.,3577,428732
17,1004,319015:427537:428709,CURRENT RIVER to Waterfront,3603,428709
3M,995,321091:427538:428748,MEMORIAL to County Park,3600,428748
3C,996,322402:427539:428735,COUNTY PARK to Castlegreen Dr,3605,428735
3J,995,320688:427540:428692,JUMBO GARDENS to Sherwood Dr.,3571,428692
3C,1004,318600:427541:428746,COUNTY PARK to Northwood,3576,428746
1,996,322222:427542:428728,MAINLINE to Waterfront,3607,428728
13,1004,318483:427543:428713,JOHN-JUMBO to Waterfront,3588,428713
1,995,320879:427544:428750,MAINLINE to City Hall,3609,428750
10,1006,319735:427545:428680,NORTHWOOD to College,3549,428680
10,1007,319735:427545:428758,NORTHWOOD to College,3549,428758
1,995,320909:427546:428750,MAINLINE to Waterfront,3575,428750
17,1003,320093:427547:428729,CURRENT RIVER to Cowan,3593,428729
9,996,322033:427548:428700,JUNOT to Waterfront,3599,428700
3M,995,321075:427549:428699,MEMORIAL to Jumbo Gardens,3590,428699
9,995,321022:427550:428690,JUNOT to University,3585,428690
13,996,322524:427551:428732,JOHN-JUMBO to County Fair,3572,428732
11,995,320786:427552:428753,JOHN to Waterfront,3606,428753
18,996,321950:427553:428754,WESTFORT to Mary,3509,428754
9,1004,318955:427554:428686,JUNOT to University,3585,428686
1,1004,318804:427555:428670,MAINLINE to Waterfront,3575,428670
11,1003,319884:427556:428755,JOHN to Waterfront,3606,428755
5,996,322359:427557:428743,EDWARD to Waterfront,3555,428743
