route_id,service_id,trip_id,trip_headsign,shape_id,block_id
3C,995,320816:427132:428689,COUNTY PARK to Northwood,3576,428689
3J,995,320671:427133:428716,JUMBO GARDENS to Airport,3592,428716
17,1004,318978:427134:428739,CURRENT RIVER to Cowan,3593,428739
7,1004,318895:427135:428687,HUDSON to Shuniah St.,3577,428687
9,996,322043:427136:428700,JUNOT to Waterfront,3599,428700
17,995,321210:427137:428711,CURRENT RIVER to Waterfront,3603,428711
9,996,322046:427138:428700,JUNOT to University,3585,428700
3C,995,320847:427139:428741,COUNTY PARK to Castlegreen Dr,3605,428741
7,995,320973:427140:428753,HUDSON to Shuniah St.,3577,428753
3C,1003,319618:427141:428705,COUNTY PARK to Northwood,3576,428705
3C,995,320846:427142:428731,COUNTY PARK to Castlegreen Dr,3605,428731
7,1003,319462:427143:428693,HUDSON to Shuniah St.,3577,428693
9,1004,318971:427144:428672,JUNOT to Waterfront,3599,428672
17,995,321208:427145:428715,CURRENT RIVER to Waterfront,3603,428715
7,995,320981:427146:428753,HUDSON to Shuniah St.,3577,428753
3M,1006,319370:427147:428751,MEMORIAL to Waterfront,3596,428751
3M,1007,319370:427147:428759,MEMORIAL to Waterfront,3596,428759
5,1003,319836:427148:428727,EDWARD to Waterfront,3555,428727
9,1004,318958:427149:428672,JUNOT to University,3585,428672
9,996,322041:427150:428700,JUNOT to Waterfront,3599,428700
3J,995,320691:427151:428708,JUMBO GARDENS to Sherwood Dr.,3571,428708
1,1003,319581:427152:428707,MAINLINE to Waterfront,3575,428707
15,1003,319135:427153:428729,BEVERLY to University,3608,428729
9,996,322036:427154:428671,JUNOT to Waterfront,3599,428671
8,995,320410:427155:428719,JAMES to Intercity via College,3587,428719
